Source,Target,Weight
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x540a9f99bb730631bf243a34b19fd00ba8cf315c,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xf039fe26456901f863c873556f40fb207c6c9c18,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xe4db97a2aafbfef40d1a4ae8b709f61d6756f8e1,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xf039fe26456901f863c873556f40fb207c6c9c18,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x87ee36f780ae843a78d5735867bc1c13792b7b11,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x3fd939b017b31eaadf9ae50c7ff7fa5c0661d47c,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x61167073e31b1dad85a3e531211c7b8f1e5cae72,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x3fd939b017b31eaadf9ae50c7ff7fa5c0661d47c,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x3fd939b017b31eaadf9ae50c7ff7fa5c0661d47c,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xa3fa99a148fa48d14ed51d610c367c61876997f1,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x61167073e31b1dad85a3e531211c7b8f1e5cae72,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x87ee36f780ae843a78d5735867bc1c13792b7b11,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xa3fa99a148fa48d14ed51d610c367c61876997f1,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xa3fa99a148fa48d14ed51d610c367c61876997f1,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x540a9f99bb730631bf243a34b19fd00ba8cf315c,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xebe0c8d842aa5a57d7bef8e524deaba676f91cd1,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x540a9f99bb730631bf243a34b19fd00ba8cf315c,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xa3fa99a148fa48d14ed51d610c367c61876997f1,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0xa3fa99a148fa48d14ed51d610c367c61876997f1,1
0x040b5f7de5b22a7a409bfa9b0e1131da6cc9143b,0x1111111254fb6c44bac0bed2854e76f90643097d,1
